fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220926 164650	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	972	TRUE	333444	0.0100961688347162	0.476710496725375	1701	18	0.0702122167434345	26191333.3333333	67
20220926 174937	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1311	TRUE	333444	0.0102370983823617	0.389564586043308	7992	789	0.0455051994752534	27229333.3333333	68
20220926 180322	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	286	TRUE	333444	0.0912132346373386	0.343195048459666	3403	378	0.0279974675772939	27108666.6666667	69
20220926 184748	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	914	TRUE	333444	0.0104105918993449	0.375699509541364	2280	1011	0.0494566553149998	27402000	70
20220926 185111	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	94	TRUE	333444	0.149978871748473	0.988366861090795	5729	835	0.0546290920035495	26478000	71
20220926 185802	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	143	TRUE	333444	0.105517818512761	0.200018378891203	2003	16	0.0338044003085177	26976666.6666667	72
20220926 190123	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	34	TRUE	333444	0.149936368587654	0.761842409070791	4580	72	0.0447267062073413	26360666.6666667	73
20220926 192809	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	679	TRUE	333444	0.0208284658538229	0.397752896808703	4924	909	0.0498393247485336	27250666.6666667	74
20220926 203733	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1653	TRUE	333444	0.0100610949765039	0.362543890160058	2245	590	0.0348907268054757	27688666.6666667	75
20220926 211515	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	564	TRUE	333444	0.0113924220184849	0.225808726629767	2825	1023	0.0404008676142279	27724666.6666667	76
20220926 212257	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	197	TRUE	333444	0.0817567972177917	0.243511470241732	3065	1024	0.0401092031261207	27316000	77
20220926 215143	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	493	TRUE	333444	0.0125477858120401	0.251768906383367	2115	796	0.0426719942530033	27419333.3333333	78
20220926 215707	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	63	TRUE	333444	0.116980473934496	0.54740180258865	1446	162	0.0311886567448853	27012666.6666667	79
20220926 221455	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	751	TRUE	333444	0.0292433767583087	0.321034018463563	2404	16	0.0322742735859705	26838000	80
20220926 225833	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	782	TRUE	333444	0.0101531103677936	0.363954148972247	1552	282	0.0429382387811084	27792666.6666667	81
20220926 230213	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	72	TRUE	222333	0.0713226146334011	0.220065995745501	3	75	0.0417827033401144	21381000	82
20220926 231016	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	128	TRUE	333444	0.0529769370775415	0.211526756098886	8000	16	0.0498720318044846	26554000	83
20220926 235955	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1201	TRUE	333444	0.012043201978254	0.325201418229533	1923	215	0.041294057698784	27602000	84
20220927 000515	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	275	TRUE	333444	0.074518639779162	0.997499583694238	7999	18	0.0452513376070221	27150666.6666667	85
20220927 001205	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	122	TRUE	333444	0.0732880529799256	0.200511308191485	5227	20	0.0439053339904609	27234000	86
20220927 010844	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1548	TRUE	333444	0.0100471766923786	0.223407322411084	3136	573	0.0420994561738182	27782000	87
20220927 013451	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	549	TRUE	333444	0.0101747723403827	0.640197989603238	7999	759	0.0534880855287172	26844666.6666667	88
20220927 021939	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1523	TRUE	333444	0.0100481447569172	0.200913807048166	6986	1018	0.053732135475823	27128666.6666667	89
20220927 022841	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	238	TRUE	333444	0.0604650225525601	0.211954442282163	6598	426	0.0464142787935391	27099333.3333333	90
20220927 023603	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	512	TRUE	333444	0.0520354599781079	0.99955316033573	8000	860	0.0453629584643661	27257333.3333333	91
20220927 031341	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	618	TRUE	333444	0.010214792548624	0.258384275391952	1752	425	0.0455017564730732	27658666.6666667	92
20220927 034634	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	660	TRUE	333444	0.010118281584126	0.202768779633201	3815	945	0.0372205417020221	27358000	93
20220927 035538	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	289	TRUE	333444	0.0651065811322305	0.200051628736998	2984	374	0.03639285873836	27370666.6666667	94
20220927 044107	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1237	TRUE	333444	0.0101858577566649	0.223584941428763	1564	90	0.0361236963667397	27708000	95
20220927 054546	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1881	TRUE	333444	0.0101945710421967	0.40841679782875	6990	582	0.0441674850774146	27089333.3333333	96
20220927 062243	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	531	TRUE	333444	0.0102422402881716	0.285231206144807	2872	957	0.0600456702370107	2.7e+07	97
